RANK,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Paul Pierce,BOS,24,82,49,33,3298.9,2144,707,1598,44.2,210,520,40.4,520,643,80.9,81,485,566,261,241,154,86,237,3694,17,0,314
2,Tim Duncan,SAS,26,82,58,24,3331.7,2089,764,1504,50.8,1,10,10.0,560,701,79.9,268,774,1042,307,263,61,203,217,4329,67,0,561
3,Kobe Bryant,LAL,23,80,56,24,3065.1,2019,749,1597,46.9,33,132,25.0,488,589,82.9,112,329,441,438,223,118,35,228,3441,11,1,444
4,Tracy McGrady,ORL,23,76,43,33,2908.9,1948,715,1586,45.1,103,283,36.4,415,555,74.8,150,446,596,400,189,119,73,139,3650,24,1,295
5,Allen Iverson,PHI,27,60,36,24,2624.2,1883,665,1669,39.8,78,268,29.1,475,585,81.2,44,225,269,331,237,168,13,102,3008,4,1,283
6,Shaquille O'Neal,LAL,30,67,51,16,2420.7,1822,712,1229,57.9,0,1,0.0,398,717,55.5,235,480,715,200,171,41,137,199,3343,40,0,569
7,Gary Payton,SEA,33,82,45,37,3297.1,1815,737,1578,46.7,74,236,31.4,267,335,79.7,80,316,396,737,209,131,26,179,3658,32,2,203
8,Antoine Walker,BOS,25,81,48,33,3406.4,1794,666,1689,39.4,222,645,34.4,240,324,74.1,150,564,714,407,251,122,38,237,3490,29,2,240
9,Karl Malone,UTA,38,80,43,37,3037.5,1788,635,1399,45.4,9,25,36.0,509,639,79.7,142,544,686,341,263,152,59,229,3493,28,0,51
10,Dirk Nowitzki,DAL,24,76,53,23,2891.0,1779,600,1258,47.7,139,350,39.7,440,516,85.3,120,635,755,186,145,83,77,222,3299,38,0,411
11,Kevin Garnett,MIN,26,81,49,32,3171.5,1714,659,1401,47.0,37,116,31.9,359,448,80.1,243,738,981,422,229,96,126,184,3961,59,0,358
12,Jalen Rose,CHI,29,83,35,48,3155.6,1696,663,1458,45.5,89,246,36.2,281,335,83.9,43,330,373,355,201,78,45,251,2844,5,0,-126
13,Stephon Marbury,PHX,25,82,36,46,3186.5,1674,625,1413,44.2,71,248,28.6,353,452,78.1,75,191,266,666,284,77,13,186,2978,29,0,-95
14,Shareef Abdur-Rahim,ATL,25,77,32,45,2978.1,1636,598,1297,46.1,21,70,30.0,419,523,80.1,198,498,696,239,250,98,81,214,3117,32,0,-225
15,Jerry Stackhouse,DET,27,76,45,31,2686.0,1629,524,1319,39.7,86,300,28.7,495,577,85.8,77,238,315,403,266,77,37,163,2688,5,0,100
16,Antawn Jamison,GSW,26,82,21,61,3033.3,1619,614,1375,44.7,68,210,32.4,323,440,73.4,211,345,556,161,161,70,45,187,2712,16,0,-371
17,Cuttino Mobley,HOU,26,74,28,46,3115.8,1606,595,1358,43.8,149,377,39.5,267,314,85.0,63,237,300,187,180,109,37,189,2505,1,0,-192
18,Latrell Sprewell,NYK,31,81,29,52,3327.9,1575,573,1419,40.4,145,403,36.0,284,346,82.1,59,239,298,313,223,94,14,161,2503,0,0,-237
19,Allan Houston,NYK,31,77,28,49,2915.2,1567,568,1301,43.7,136,346,39.3,295,339,87.0,37,215,252,190,170,54,10,182,2176,1,0,-349
20,Shawn Marion,PHX,24,81,36,45,3107.5,1547,654,1395,46.9,48,122,39.3,191,226,84.5,211,592,803,163,144,149,86,214,3316,43,0,-10
21,Wally Szczerbiak,MIN,25,82,50,32,3120.6,1531,609,1200,50.7,87,191,45.5,226,272,83.1,120,271,391,257,181,66,21,188,2466,5,0,278
22,Rasheed Wallace,POR,27,79,49,30,2965.8,1521,603,1287,46.9,114,317,36.0,201,274,73.4,136,509,645,152,131,101,101,212,2998,25,0,366
23,Peja Stojakovic,SAC,25,71,52,19,2648.5,1506,547,1130,48.4,129,310,41.6,283,323,87.6,72,301,373,175,140,81,14,120,2361,2,0,380
24,Jason Terry,ATL,24,78,33,45,2967.5,1504,524,1219,43.0,172,444,38.7,284,340,83.5,40,230,270,444,181,144,13,156,2784,8,0,-163
25,Ray Allen,MIL,26,69,35,34,2525.7,1503,530,1148,46.2,229,528,43.4,214,245,87.3,81,231,312,271,159,88,18,157,2443,3,0,49
26,Baron Davis,CHH,23,82,44,38,3319.8,1484,559,1341,41.7,170,478,35.6,196,338,58.0,93,256,349,698,246,172,47,241,3361,29,1,150
27,Vince Carter,TOR,25,60,30,30,2385.6,1484,559,1307,42.8,121,313,38.7,245,307,79.8,138,175,313,239,154,94,45,191,2481,5,0,68
28,Eddie Jones,MIA,30,81,36,45,3155.2,1480,517,1198,43.2,149,382,39.0,297,355,83.7,61,317,378,262,148,117,77,258,2761,2,0,72
29,Steve Nash,DAL,28,82,57,25,2837.9,1466,525,1088,48.3,156,343,45.5,260,293,88.7,50,204,254,634,229,53,4,164,2664,20,0,308
30,Sam Cassell,MIL,32,74,39,35,2606.6,1461,554,1197,46.3,71,204,34.8,282,328,86.0,54,258,312,493,177,90,12,208,2704,11,0,109
31,Elton Brand,LAC,23,80,38,42,3016.3,1453,532,1010,52.7,0,0,0.0,389,524,74.2,396,529,925,191,173,80,163,254,3406,55,0,4
32,Pau Gasol,MEM,21,82,23,59,3001.9,1441,551,1064,51.8,1,5,20.0,338,477,70.9,238,492,730,223,224,41,169,195,3058,35,0,-310
33,Michael Finley,DAL,29,69,45,24,2755.2,1424,569,1228,46.3,76,224,33.9,210,251,83.7,90,270,360,230,117,65,25,144,2354,5,0,221
34,Michael Jordan,WAS,39,60,30,30,2089.0,1375,551,1324,41.6,10,53,18.9,263,333,79.0,50,289,339,310,162,85,26,119,2418,8,0,17
35,Jermaine O'Neal,IND,23,72,40,32,2707.9,1371,543,1133,47.9,1,14,7.1,284,413,68.8,188,569,757,118,174,45,166,269,2915,39,0,99
36,Glenn Robinson,MIL,29,66,33,33,2347.6,1366,536,1147,46.7,58,178,32.6,236,282,83.7,70,336,406,168,174,97,41,173,2345,13,0,-72
37,Andre Miller,CLE,26,81,29,52,3019.3,1335,474,1045,45.4,22,87,25.3,365,447,81.7,108,271,379,882,245,126,34,228,3348,43,3,-104
38,Chris Webber,SAC,29,54,42,12,2072.3,1322,532,1075,49.5,5,19,26.3,253,338,74.9,150,396,546,259,158,90,76,181,2706,31,1,410
39,Nick Van Exel,DAL,30,72,33,39,2497.7,1322,501,1226,40.9,119,350,34.0,201,251,80.1,28,226,254,478,156,44,11,104,2353,11,0,-137
40,Reggie Miller,IND,36,79,40,39,2890.7,1304,414,913,45.3,180,443,40.6,296,325,91.1,23,196,219,253,120,88,10,143,2120,0,0,-7
41,Richard Hamilton,WAS,24,63,27,36,2200.3,1260,472,1084,43.5,16,42,38.1,300,337,89.0,73,143,216,171,132,38,14,136,1800,0,0,-28
42,Bonzi Wells,POR,25,74,44,30,2350.5,1255,487,1039,46.9,66,172,38.4,215,290,74.1,121,323,444,204,191,113,25,208,2317,7,0,176
